id,action_time,object_id,object_repr,change_message,content_type_id,user_id,action_flag
1,2022-03-21 17:58:49.872142,1,Bangle,"[{""added"": {}}]",23,1,1
2,2022-03-21 17:58:58.230016,2,Ring,"[{""added"": {}}]",23,1,1
3,2022-03-21 17:59:04.508997,3,Chain,"[{""added"": {}}]",23,1,1
4,2022-03-22 15:34:15.831158,1,Purchase Order,"[{""added"": {}}]",22,1,1
5,2022-03-22 15:34:23.878098,2,Sales,"[{""added"": {}}]",22,1,1
6,2022-03-22 15:34:35.435792,3,Customer Order,"[{""added"": {}}]",22,1,1
7,2022-03-22 17:30:57.529514,1,open,"[{""added"": {}}]",27,1,1
8,2022-03-22 17:31:05.480297,2,close,"[{""added"": {}}]",27,1,1
9,2022-03-22 17:31:12.904217,3,cancelled,"[{""added"": {}}]",27,1,1
10,2022-03-30 10:32:02.964333,4,Workshop Order,"[{""added"": {}}]",22,1,1
